BusinessRegion,,Department,RetailNetwork,Level3,ЯК,Рейтинг ЯК,количество,2 ГИС,Рейтинг 2ГИС,количество,Гугл карты,Рейтинг ГК,,,,Рейтинг ЯК (свежий),оценки ЯК (свежий),отзывы ЯК (свежий),Рейтинг 2ГИС (свежий),оценки 2ГИС (свежий),отзывы 2ГИС (свежий)
Краснодар,Молодцов А,Краснодар-08 Метальникова 3,SPOKE Россия,Алексеева Яна РД,https://yandex.ru/maps/org/spoke/236143704016/?ll=39.004930%2C45.093817&z=16,,,https://go.2gis.com/m3Li6,"4,9",18,,,,,,"4,7",426,345,"4,1",484,465
Краснодар,Молодцов А,Краснодар-08 Метальникова 3,Галерея Суши Россия,Алексеева Яна РД,https://yandex.by/maps/-/CLbzR2ku,,,https://go.2gis.com/dPin0,"4,4",143,,,,,,"4,7",426,345,"4,1",484,465
Краснодар,Молодцов А,Краснодар-08 Метальникова 3,Мир Суши Россия,Алексеева Яна РД,https://yandex.ru/maps/-/CLUbyGOU,,,https://go.2gis.com/7lcDP,"4,5",301,,,,,,"4,7",426,345,"4,1",484,465
Краснодар,Молодцов А,Краснодар-08 Метальникова 3,Суши Мастер Россия,Алексеева Яна РД,https://yandex.ru/maps/-/CLqUj2yO,"4,6",339,https://go.2gis.com/dWg2p,4,626,https://maps.app.goo.gl/RYAQqVWr1rwRCrrn9,,,,,"4,7",426,345,"4,1",484,465
Краснодар,Молодцов А,Краснодар-09 Стасова 186,SPOKE Россия,Алексеева Яна РД,https://yandex.ru/maps/org/spoke/73131794963/?ll=39.044124%2C45.031337&z=16,,,https://2gis.ru/krasnodar/search/%D1%81%D0%BF%D0%BE%D0%BA%D0%B5%20%D0%BA%D1%80%D0%B0%D1%81%D0%BD%D0%BE%D0%B4%D0%B0%D1%80%20%D1%81%D1%82%D0%B0%D1%81%D0%BE%D0%B2%D0%B0/firm/70000001114205779/39.044059%2C45.031593?m=39.044085%2C45.031617%2F17.81,"4,9",60,,,,,,,,,"4,9",,60
Краснодар,Молодцов А,Краснодар-09 Стасова 186,Галерея Суши Россия,Алексеева Яна РД,https://yandex.by/maps/-/CPWVBLJp,,,https://go.2gis.com/iRutC,"4,4",83,https://maps.app.goo.gl/xS9uTGbYcwGUf9Vz9,,,,,,,,"4,9",,60
Краснодар,Молодцов А,Краснодар-09 Стасова 186,Мир Суши Россия,Алексеева Яна РД,https://yandex.ru/maps/-/CLUbJYlM,,,https://go.2gis.com/ViOGC,"4,6",42,,,,,,,,,"4,9",,60
Краснодар,Молодцов А,Краснодар-09 Стасова 186,Суши Мастер Россия,Алексеева Яна РД,https://yandex.ru/maps/-/CLqUf-KY,"4,7",308,https://go.2gis.com/7S5Kw,4,626,https://maps.app.goo.gl/a7qSta4rnRbSJ1hQA,,,,,,,,"4,9",,60
Краснодар,Молодцов А,Краснодар-11 Яна Полуяна 39,SPOKE Россия,Алексеева Яна РД,https://yandex.ru/maps/org/spoke/62279617897/,,,https://go.2gis.com/FUoSy,"4,9",18,,,,,,"3,8",37,28,"4,7",28,28
Краснодар,Молодцов А,Краснодар-11 Яна Полуяна 39,Галерея Суши Россия,Алексеева Яна РД,https://yandex.by/maps/-/CLbzVJke,,,https://go.2gis.com/1GcBW,"4,4",38,https://maps.app.goo.gl/acquxWz2brdHhBXk6,,,,,"3,8",37,28,"4,7",28,28
Краснодар,Молодцов А,Краснодар-11 Яна Полуяна 39,Мир Суши Россия,Алексеева Яна РД,https://yandex.ru/maps/-/CLUbJ26u,,,https://go.2gis.com/tNZmO,"4,7",27,,,,,,"3,8",37,28,"4,7",28,28
Краснодар,Молодцов А,Краснодар-11 Яна Полуяна 39,Суши Мастер Россия,Алексеева Яна РД,https://yandex.ru/maps/-/CLrQvQlZ,"4,4",492,https://go.2gis.com/pSoF9,"4,1",379,https://maps.app.goo.gl/KXNwb1atKuUjiAPKA,,,,,"3,8",37,28,"4,7",28,28
Краснодар,Молодцов А,Краснодар-13 Восточно-Кругликовская 24,SPOKE Россия,Алексеева Яна РД,https://yandex.ru/maps/org/spoke/23884905134/?ll=39.027837%2C45.048571&z=16,,,https://go.2gis.com/0zTsC,"4,9",26,,,,,,"4,5",488,384,4,685,629
Краснодар,Молодцов А,Краснодар-13 Восточно-Кругликовская 24,Галерея Суши Россия,Алексеева Яна РД,https://yandex.by/maps/-/CLbzV6ob,,,https://go.2gis.com/bxVl6,"4,4",83,,,,,,"4,5",488,384,4,685,629
Краснодар,Молодцов А,Краснодар-13 Восточно-Кругликовская 24,Мир Суши Россия,Алексеева Яна РД,https://yandex.ru/maps/-/CLUbN81g,,,https://go.2gis.com/OeBWh,"4,7",56,,,,,,"4,5",488,384,4,685,629
Краснодар,Молодцов А,Краснодар-13 Восточно-Кругликовская 24,Суши Мастер Россия,Алексеева Яна РД,https://yandex.ru/maps/-/CLqUfDMh,"4,5",378,https://go.2gis.com/tjB8L,4,626,https://maps.app.goo.gl/f1egXtGSfEwHNKaN6,,,,,"4,5",488,384,4,685,629
Краснодар,Молодцов А,Краснодар-15 Западный обход 45 стр.3 пом.1110/1,SPOKE Россия,Алексеева Яна РД,https://yandex.ru/maps/org/spoke/96026106016/,,,https://go.2gis.com/xdzL4,"4,9",18,,,,,,"4,2",18,18,"3,4",12,12
Краснодар,Молодцов А,Краснодар-15 Западный обход 45 стр.3 пом.1110/1,Галерея Суши Россия,Алексеева Яна РД,https://yandex.by/maps/-/CLbzVSIM,,,https://go.2gis.com/EQWtY,"3,1",11,,,,,,"4,2",18,18,"3,4",12,12
Краснодар,Молодцов А,Краснодар-15 Западный обход 45 стр.3 пом.1110/1,Мир Суши Россия,Алексеева Яна РД,https://yandex.ru/maps/-/CLUbR65D,,,https://go.2gis.com/Dcojd,-0,-0,,,,,,"4,2",18,18,"1,4",2,1
Краснодар,Молодцов А,Краснодар-15 Западный обход 45 стр.3 пом.1110/1,Суши Мастер Россия,Алексеева Яна РД,https://yandex.ru/maps/-/CLqUj8-9,"4,5",225,https://go.2gis.com/sc7gQ,"4,1",379,https://maps.app.goo.gl/oj2xuNLCjJpq2xQFA,,,,,"4,2",18,18,"3,4",12,12
Красноярск,Юнусов В,Красноярск-01 Молоково 1 копус 3,Галерея Суши Россия,Попова Светлана РД,https://yandex.by/maps/-/CLbzV8-8,,,https://go.2gis.com/F6so8,"4,1",133,,,,,,"4,4",31,25,"4,1",148,133
Красноярск,Юнусов В,Красноярск-01 Молоково 1 копус 3,Мир Суши Россия,Попова Светлана РД,https://yandex.ru/maps/org/mir_sushi/137864651879/,,,https://go.2gis.com/keBTk,"4,2",1441,https://maps.app.goo.gl/1rbLwTjsYaW6wgNv9,,,,,"4,4",31,25,"4,1",148,133
Красноярск,Юнусов В,Красноярск-01 Молоково 1 копус 3,Суши Мастер Россия,Попова Светлана РД,https://yandex.ru/maps/-/CLqUrF06,"4,4",11,https://go.2gis.com/xbrHO,"4,2",48,https://maps.app.goo.gl/CcyuSPLtMv5fYpgU9,,,,,"4,4",31,25,"4,1",148,133
Красноярск,Юнусов В,Красноярск-03 Юности 39,Галерея Суши Россия,Попова Светлана РД,https://yandex.by/maps/-/CLbzVXyl,,,https://go.2gis.com/pFIgv,"4,3",87,,,,,,"4,5",253,151,"4,1",518,479
Красноярск,Юнусов В,Красноярск-03 Юности 39,Мир Суши Россия,Попова Светлана РД,https://yandex.ru/maps/-/CLUfMEPF,,,https://go.2gis.com/219K2,"4,1",476,https://maps.app.goo.gl/L3xizYcN7LXVmoNQ8,,,,,"4,5",253,151,"4,1",518,479
Красноярск,Юнусов В,Красноярск-03 Юности 39,Суши Мастер Россия,Попова Светлана РД,https://yandex.ru/maps/-/CLqUvBZG,"3,9",6,https://go.2gis.com/gNWte,"3,7",32,https://maps.app.goo.gl/R3fqaHVxFMKWteS96,,,,,"4,5",253,151,"4,1",518,479
Красноярск,Юнусов В,Красноярск-09 Чернышевского 79,Галерея Суши Россия,Попова Светлана РД,https://yandex.by/maps/-/CLbzZY1~,,,https://go.2gis.com/mpWkk,4,78,,,,,,"4,3",38,29,"4,1",88,81
Красноярск,Юнусов В,Красноярск-09 Чернышевского 79,Мир Суши Россия,Попова Светлана РД,https://yandex.ru/maps/-/CLUfUJPW,,,https://go.2gis.com/ais3n,"3,6",459,https://maps.app.goo.gl/SNyYPxk6zKitnHLE6,,,,,"4,3",38,29,"4,1",88,81
Красноярск,Юнусов В,Красноярск-09 Чернышевского 79,Суши Мастер Россия,Попова Светлана РД,https://yandex.ru/maps/-/CLqUrHKv,"4,1",19,https://go.2gis.com/DBojO,"4,2",161,https://maps.app.goo.gl/3VnEvfsYnRvBHr3W6,,,,,"4,3",38,29,"4,1",88,81
Красноярск,Юнусов В,Красноярск-11 Имени газеты КР 135,Галерея Суши Россия,Попова Светлана РД,https://yandex.by/maps/-/CLbz6Vy4,,,https://go.2gis.com/SUqj4,"3,8",91,,,,,,"4,1",19,11,"4,1",136,121
Красноярск,Юнусов В,Красноярск-11 Имени газеты КР 135,Мир Суши Россия,Попова Светлана РД,https://yandex.ru/maps/-/CLUfaGIJ,,,https://go.2gis.com/va2Zr,"4,1",368,https://maps.app.goo.gl/pdVqPuMjjNbGppCJ7,,,,,"4,1",19,11,"4,1",136,121
Красноярск,Юнусов В,Красноярск-11 Имени газеты КР 135,Суши Мастер Россия,Попова Светлана РД,https://yandex.ru/maps/-/CLrUAA9W,4,11,https://go.2gis.com/4orOh,4,119,https://maps.app.goo.gl/et4LKMXmKkEraz2JA,,,,,"4,1",19,11,"4,1",136,121
Курск,,Курск-03 Бойцов 9 дивизии 185а,Суши Мастер Россия,,https://yandex.ru/maps/org/sushi_master/150055065095/,"4,9",109,https://2gis.ru/kursk/search/%D0%BA%D1%83%D1%80%D1%81%D0%BA%20%D1%81%D1%83%D1%88%D0%B8%20%D0%BC%D0%B0%D1%81%D1%82%D0%B5%D1%80/firm/70000001063720882/36.13875%2C51.726614?m=36.165837%2C51.737983%2F14.31,5,3,https://maps.app.goo.gl/by5e1aQQ8nT4pSa27,"4,1",,,,"4,9",143,109,5,8,6
Лабытнанги,Чураева К,Лабытнанги-01 Школьная 25,Галерея Суши Россия,Покатова Лариса РД,https://yandex.by/maps/-/CLbz6KpX,,,https://go.2gis.com/D8RvI,"4,6",20,,,,,,4,10,6,"4,6",20,20
Лабытнанги,Чураева К,Лабытнанги-01 Школьная 25,Мир Суши Россия,Покатова Лариса РД,https://yandex.ru/maps/-/CLUfiUJo,,,https://go.2gis.com/cdvZN,5,4,,,,,,4,10,6,"4,6",20,20
Лабытнанги,Чураева К,Лабытнанги-01 Школьная 25,Суши Мастер Россия,Покатова Лариса РД,https://yandex.ru/maps/-/CLqU7Ck-,"4,4",136,https://go.2gis.com/rpeMO,"4,3",40,https://maps.app.goo.gl/nXBC8VBpzLums3tx7,,,,,4,10,6,"4,6",20,20
Лангепас,Юнусов В,Лангепас-01 Комсомольская 10А/2,Галерея Суши Россия,Покатова Лариса РД,https://yandex.by/maps/-/CLbz6DY2,,,https://go.2gis.com/uNVXk,"4,6",42,https://maps.app.goo.gl/4rVMVr2DbdLg9TX37,,,,,"4,4",348,214,"4,6",139,122
Лангепас,Юнусов В,Лангепас-01 Комсомольская 10А/2,Мир Суши Россия,Покатова Лариса РД,https://yandex.ru/maps/org/mir_sushi/42867015040/?ll=75.190130%2C61.252724&z=16,,,https://go.2gis.com/ngk1M,"4,9",31,,,,,,"4,4",348,214,"4,6",139,122
Лангепас,Юнусов В,Лангепас-01 Комсомольская 10А/2,Суши Мастер Россия,Покатова Лариса РД,https://yandex.ru/maps/-/CLqYAJyP,"4,4",212,https://go.2gis.com/w0P7V,"4,6",122,https://maps.app.goo.gl/KvYUt9DwGURtJWxL7,,,,,"4,4",348,214,"4,6",139,122
Лобня,,"Лобня-01 ул. Батарейная, 8",Суши Мастер Россия,,https://yandex.ru/maps/org/sushi_master/56029914602/,"4,8",134,https://go.2gis.com/eEWnX,"4,7",24,https://maps.app.goo.gl/zNfDAD5Q4XbLrhzR8,"4,3",,,,"4,7",171,135,"4,7",26,25
Лобня,,"Лобня-01 ул. Батарейная, 8",Галерея Суши Россия,,https://yandex.ru/maps/org/galereya_sushi/102031723103/,,,https://go.2gis.com/ceJTn,5,6,,,,,,"4,7",171,135,"4,7",26,25
Люберцы,Юнусов В,Люберцы-01 Юности 3,SPOKE Россия,,https://yandex.ru/maps/org/spoke/59580879443/?ll=37.911097%2C55.701476&z=16,,,,,0,,,,,,,,,"4,8",43,42
Люберцы,Юнусов В,Люберцы-01 Юности 3,Галерея Суши Россия,Покатова Лариса РД,https://yandex.by/maps/-/CLbz6T-C,,,https://go.2gis.com/q1xuY,5,24,,,,,,,,,"4,8",43,42
Люберцы,Юнусов В,Люберцы-01 Юности 3,Мир Суши Россия,Покатова Лариса РД,https://yandex.ru/profile/192188984328,,,https://go.2gis.com/OYSyQ,"4,8",42,,,,,,,,,"4,8",43,42
Люберцы,Юнусов В,Люберцы-01 Юности 3,Суши Мастер Россия,Покатова Лариса РД,https://yandex.ru/maps/-/CLqYAW6L,"4,3",564,https://go.2gis.com/msFZc,"3,9",117,https://maps.app.goo.gl/XfPm4FaZr9y5b4y67,,,,,,,,"4,8",43,42
Нижнекамск,Молодцов А,Нижнекамск-02 Гагарина 24,Ёбидоёби Россия,Понкратова (Филиппова) Анастасия РД,,,,,,0,,,,,,,,,"3,6",3,2
Лянтор,,Лянтор-01 Кингисеппа 9,Суши Мастер Россия,,https://yandex.ru/maps/org/sushi_master/94162079862/,"4,3",115,https://2gis.ru/lyantor/search/%D0%BB%D1%8F%D0%BD%D1%82%D0%BE%D1%80%20%D1%81%D1%83%D1%88%D0%B8%20%D0%BC%D0%B0%D1%81%D1%82%D0%B5%D1%80/firm/70000001035785410/72.167654%2C61.620196?m=72.167681%2C61.620179%2F17,"4,6",30,https://maps.app.goo.gl/S48i2jyFQeLK8uJk6,"3,9",,,,"4,3",219,115,"4,6",39,33
Майкоп,Молодцов А,Майкоп-01 Чкалова 71,Галерея Суши Россия,Алексеева Яна РД,https://yandex.by/maps/-/CLbzbIM~,,,https://go.2gis.com/E0I3y,5,1,https://maps.app.goo.gl/7ZLQUMCnqzSj1STc8,,,,,"2,8",28,21,5,1,1
Майкоп,Молодцов А,Майкоп-01 Чкалова 71,Мир Суши Россия,Алексеева Яна РД,https://yandex.ru/maps/org/mir_sushi/59811899511/?ll=40.062373%2C44.612754&z=16,,,https://go.2gis.com/xdor8,0,3,,,,,,"2,8",28,21,5,1,1
Майкоп,Молодцов А,Майкоп-01 Чкалова 71,Суши Мастер Россия,Алексеева Яна РД,https://yandex.ru/maps/-/CLqYIQLm,"4,7",476,https://go.2gis.com/Xu5JX,"4,7",137,https://maps.app.goo.gl/qbfi2PJfnEFMKxv16,,,,,"2,8",28,21,5,1,1
Мегион,Юнусов В,Мегион-01 Заречная 15/3,Галерея Суши Россия,Покатова Лариса РД,https://yandex.by/maps/-/CLbzbYKk,,,https://go.2gis.com/BCO2R,"4,6",39,,,,,,"4,4",328,150,"4,4",225,186
Мегион,Юнусов В,Мегион-01 Заречная 15/3,Мир Суши Россия,Покатова Лариса РД,https://yandex.ru/maps/org/mir_sushi/59811899511/?ll=40.062373%2C44.612754&z=16,,,https://go.2gis.com/gGvl9,0,3,,,,,,"4,4",328,150,"4,4",225,186
Нижний Новгород,Молодцов А,Нижний Новгород-02 ул. Горького 148,Галерея Суши Россия,Понкратова (Филиппова) Анастасия РД,НЕ РАБОТАЕТ,,,ф-л не работает,,,,,,,,"4,4",141,114,,,
Нижний Новгород,Молодцов А,Нижний Новгород-02 ул. Горького 148,Мир Суши Россия,Понкратова (Филиппова) Анастасия РД,,,,ф-л не работает,,,,,,,,"4,4",141,114,,,
Нижний Новгород,Молодцов А,Нижний Новгород-02 ул. Горького 148,Суши Мастер Россия,Понкратова (Филиппова) Анастасия РД,https://yandex.ru/maps/-/CLqqQZZP,,,ф-л не работает,,,https://maps.app.goo.gl/cbHQUn4xbTo18xLy5,,,,,"4,4",141,114,,,
Мегион,Юнусов В,Мегион-01 Заречная 15/3,Суши Мастер Россия,Покатова Лариса РД,https://yandex.ru/maps/-/CLqYMJmp,"4,4",150,https://go.2gis.com/MQUBr,"4,3",181,https://maps.app.goo.gl/nVgqVinuAEWd1uAYA,,,,,"4,4",328,150,"4,4",225,186
Междуреченск,Молодцов А,Междуреченск-01 Коммунистический 8,Галерея Суши Россия,Понкратова (Филиппова) Анастасия РД,https://yandex.by/maps/-/CLbzbJpH,,,https://go.2gis.com/vQkAi,"4,5",4,,,,,,"4,3",8,7,"4,6",1,260
Междуреченск,Молодцов А,Междуреченск-01 Коммунистический 8,Мир Суши Россия,Понкратова (Филиппова) Анастасия РД,https://yandex.ru/maps/org/mir_sushi/221087919663/?ll=88.064201%2C53.691278&z=16,,,https://go.2gis.com/bPTIY,5,-0,,,,,,"4,3",8,7,"4,6",1,260
Междуреченск,Молодцов А,Междуреченск-01 Коммунистический 8,Суши Мастер Россия,Понкратова (Филиппова) Анастасия РД,https://yandex.ru/maps/-/CLqeVH5m,"4,4",311,https://go.2gis.com/TwzFx,"4,4",153,https://maps.app.goo.gl/NA7izVb87dXmenUP6,,,,,"4,3",8,7,"4,6",1,260
Миасс,Чураева К,Миасс-02 Автозаводцев 32/Б,Галерея Суши Россия,Понкратова (Филиппова) Анастасия РД,https://yandex.by/maps/-/CPe4iQyy,,,https://go.2gis.com/BVV7x,"3,9",81,,,,,,5,,271,"3,9",86,80
Миасс,Чураева К,Миасс-02 Автозаводцев 32/Б,Мир Суши Россия,Понкратова (Филиппова) Анастасия РД,https://yandex.ru/maps/org/mir_sushi/166387151586/?ll=60.107210%2C55.055094&z=16,,,https://2gis.ru/miass/search/%D0%BC%D0%B8%D1%80%20%D1%81%D1%83%D1%88%D0%B8%20%20%D0%9C%D0%B8%D0%B0%D1%81%D1%81-02%20%D0%90%D0%B2%D1%82%D0%BE%D0%B7%D0%B0%D0%B2%D0%BE%D0%B4%D1%86%D0%B5%D0%B2%2032/firm/70000001060017120/60.107291%2C55.055211?m=60.107268%2C55.055236%2F17.42,"4,4",57,,,,,,5,,271,"3,9",86,80
Миасс,Чураева К,Миасс-02 Автозаводцев 32/Б,Суши Мастер Россия,Понкратова (Филиппова) Анастасия РД,https://yandex.ru/maps/-/CLqez4LH,"4,2",205,https://go.2gis.com/AD1Qx,"3,9",483,https://maps.app.goo.gl/J71A3KjJkyKj719y5,,,,,5,,271,"3,9",86,80
Москва,,Москва-01 Волочаевская 12А/1,Суши Мастер Россия,,https://yandex.ru/maps/org/sushi_master/54966784663/,"4,3",489,https://go.2gis.com/pP0Nw,"4,7",106,https://maps.app.goo.gl/aBAKDK5rBTmA59po6,"4,6",,,,"4,3",643,493,"4,7",125,107
Москва,,Москва-04 Сходненская 25,Суши Мастер Россия,,https://yandex.ru/maps/org/sushi_master/117218600888/,"4,2",304,https://go.2gis.com/CwGnJ,"4,7",78,https://maps.app.goo.gl/C9r9ERNiuNV1XLpK8,"4,4",,,,"4,3",484,313,"4,7",85,78
Москва,,Москва-07 Проезд Грайвороновский 2-й 44к3,Суши Мастер Россия,,https://yandex.ru/maps/org/sushi_master/198022680815/,5,84,https://go.2gis.com/9Wiiu,"4,5",21,https://maps.app.goo.gl/8KFSaXynSgS3YM9XA,"4,2",,,,"4,2",12,10,5,6,6
Москва,,Москва-09 Первомайская 52,Суши Мастер Россия,,https://yandex.ru/maps/org/sushi_master/9823717884/,"4,4",470,https://go.2gis.com/30WR7,"4,5",88,https://maps.app.goo.gl/PwLgV6P3hksqQtau5,"4,3",,,,"4,5",650,481,"4,5",92,89
Москва,,Москва-10 Братиславская 20,Суши Мастер Россия,,https://yandex.ru/maps/org/sushi_master/233824129872/,"4,3",485,https://go.2gis.com/ca4Pp,"4,7",74,https://maps.app.goo.gl/a1QjZRujK8poaw3q7,"4,4",,,,"4,3",673,490,"4,7",83,78
Москва,,Москва-11 проспект мира 122,Суши Мастер Россия,,https://yandex.ru/maps/org/sushi_master/129755985064/,5,101,https://go.2gis.com/RaQSc,"4,2",21,https://maps.app.goo.gl/joyywKHniqqGqh258,5,,,,"2,8",6,2,5,29,29
Москва,,"Москва-12 Богданова 2, корпус 1",Суши Мастер Россия,,https://yandex.ru/maps/org/sushi_master/125019248613/,"4,9",190,https://go.2gis.com/6k5cU,"4,7",59,https://maps.app.goo.gl/Zy65YJ1f53oXUdcx5,3,,,,"4,9",259,195,"4,7",58,58
Москва,,Москва-13 Дмитровское шоссе 70,Суши Мастер Россия,,https://yandex.ru/maps/org/sushi_master/167660214273/,5,226,https://go.2gis.com/5APR4,4,49,https://maps.app.goo.gl/tUjHsNAdLtCwjjTF8,"3,3",,,,5,269,234,4,49,49
Москва,,Москва-14 Дмитрия Ульянова 28,Суши Мастер Россия,,https://yandex.ru/maps/org/sushi_master/104739225791/,"4,9",143,https://go.2gis.com/KT1bx,5,94,https://maps.app.goo.gl/VmedKCWUUt3QGWLP7,"4,8",,,,1,,227,5,23,23
Москва,,Москва-15 Фестивальная 41 к1,Суши Мастер Россия,,https://yandex.ru/maps/org/sushi_master/74339615593/,5,109,https://go.2gis.com/iXmMX,"4,3",10,https://maps.app.goo.gl/XgwXyQLAKdekf5N69,"4,9",,,,1,,205,5,16,16
Москва,,Москва-16 Скандинавский бульвар 17,Суши Мастер Россия,,https://yandex.ru/maps/org/sushi_master/157147918646/,"4,4",82,https://go.2gis.com/KZCYa,"4,9",29,https://maps.app.goo.gl/nmQa2bx25VaxdvQt9,,,,,"4,5",98,85,"4,9",29,29
Москва,,Москва-18 Сущевский Вал 49,Суши Мастер Россия,,https://yandex.ru/maps/org/sushi_master/190600783407/,5,124,https://go.2gis.com/oN7X2,5,5,https://maps.app.goo.gl/647Q8rqH8H4FgPtx7,,,,,5,144,131,5,7,5
Москва,,Москва-01 Волочаевская 12А/1,Галерея Суши Россия,,https://yandex.ru/maps/org/galereya_sushi/139587864195/,,,,,0,,,,,,"4,3",643,493,"4,7",125,107
Москва,,Москва-04 Сходненская 25,Галерея Суши Россия,,https://yandex.ru/maps/org/galereya_sushi/31401750171/,,,https://go.2gis.com/VE9SO,5,3,,,,,,"4,3",484,313,"4,7",85,78
Москва,,Москва-07 Проезд Грайвороновский 2-й 44к3,Галерея Суши Россия,,https://yandex.ru/maps/org/galereya_sushi/12854800400/,,,https://go.2gis.com/FhN9g,5,6,,,,,,"4,2",12,10,5,6,6
Москва,,Москва-11 проспект мира 122,Галерея Суши Россия,,https://yandex.ru/maps/org/galereya_sushi/195780741696/,,,https://go.2gis.com/1sEWU,5,23,,,,,,"2,8",6,2,5,29,29
Москва,,"Москва-12 Богданова 2, корпус 1",Галерея Суши Россия,,https://yandex.ru/maps/org/galereya_sushi/47906027418/,,,,,0,,,,,,"4,9",259,195,"4,7",58,58
Москва,,Москва-13 Дмитровское шоссе 70,Галерея Суши Россия,,https://yandex.ru/maps/org/galereya_sushi/68389751125/,,,https://go.2gis.com/ijYWH,"4,9",10,,,,,,5,269,234,4,49,49
Москва,,Москва-14 Дмитрия Ульянова 28,Галерея Суши Россия,,https://yandex.ru/maps/org/galereya_sushi/46094733756/,,,https://go.2gis.com/SRana,"4,9",18,,,,,,1,,227,5,23,23
Москва,,Москва-15 Фестивальная 41 к1,Галерея Суши Россия,,https://yandex.ru/maps/org/galereya_sushi/182999140010/,,,https://go.2gis.com/XjuZh,5,15,,,,,,1,,205,5,16,16
Москва,,"Москва, Скандинавский бульвар, 17",Галерея Суши Россия,,https://yandex.ru/maps/org/galereya_sushi/195597193758/,,,,,0,,,,,,"3,5",6,6,,,0
Москва,,Москва Первомайская 52 пом.2,Галерея Суши Россия,,https://yandex.ru/maps/org/galereya_sushi/88733864668/,,,,,0,,,,,,5,,221,,,0
Москва,,Москва Братиславская 20,Галерея Суши Россия,,https://yandex.ru/maps/org/galereya_sushi/33030357255/,,,https://go.2gis.com/E6O8v,5,5,,,,,,1,,213,5,5,5
Москва,,Москва Сущевский вал 49,Галерея Суши Россия,,https://yandex.ru/maps/org/galereya_sushi/124860048319/,,,https://go.2gis.com/SDw7l,5,6,,,,,,5,,221,5,6,6
Муравленко,Юнусов В,Муравленко-01 Муравленко 12 Б,Галерея Суши Россия,Покатова Лариса РД,https://yandex.by/maps/-/CLbzbWZQ,,,https://go.2gis.com/12301,"4,7",55,,,,,,"4,3",270,157,"4,4",151,130
Муравленко,Юнусов В,Муравленко-01 Муравленко 12 Б,Мир Суши Россия,Покатова Лариса РД,https://yandex.ru/maps/org/mir_sushi/83467945741/?ll=74.491026%2C63.793505&z=16,,,https://2gis.ru/muravlenko/search/%D0%BC%D0%B8%D1%80%20%D1%81%D1%83%D1%88%D0%B8%20%D0%9C%D1%83%D1%80%D0%B0%D0%B2%D0%BB%D0%B5%D0%BD%D0%BA%D0%BE-01%20%D0%9C%D1%83%D1%80%D0%B0%D0%B2%D0%BB%D0%B5%D0%BD%D0%BA%D0%BE%2012%20%D0%91/firm/70000001060017209/74.491445%2C63.793658?m=74.491477%2C63.793647%2F17.04,"4,9",57,,,,,,"4,3",270,157,"4,4",151,130
Муравленко,Юнусов В,Муравленко-01 Муравленко 12 Б,Суши Мастер Россия,Покатова Лариса РД,https://yandex.ru/maps/-/CLqezRmh,"4,3",157,https://2gis.ru/muravlenko/search/%D1%81%D1%83%D1%88%D0%B8%20%D0%BC%D0%B0%D1%81%D1%82%D0%B5%D1%80%20%D0%BC%D1%83%D1%80%D0%B0%D0%B2%D0%BB%D0%B5%D0%BD%D0%BA%D0%BE/firm/70000001023458541/74.491445%2C63.793658/tab/reviews?m=74.49148%2C63.793643%2F17.11,"4,4",130,https://maps.app.goo.gl/FGcv6BVdqdw6yr5C9,,,,,"4,3",270,157,"4,4",151,130
Мытищи,,Мытищи-01 Юбилейная 6,Суши Мастер Россия,,https://yandex.ru/maps/org/sushi_master/112120291191/,5,1119,https://2gis.ru/mytishchi/search/%D0%BC%D1%8B%D1%82%D0%B8%D1%89%D0%B8%20%D1%81%D1%83%D1%88%D0%B8%20%D0%BC%D0%B0%D1%81%D1%82%D0%B5%D1%80/firm/70000001049897437/37.718652%2C55.914225?m=37.657479%2C55.967666%2F11.75,"4,9",157,https://maps.app.goo.gl/sdYYXJxxTicDwuif6,"4,4",,,,5,1507,1145,"4,9",206,160
Надым,Чураева К,Надым-01 проспект Ленинградский 10,Галерея Суши Россия,Покатова Лариса РД,https://yandex.by/maps/-/CLbzbP4i,,,https://go.2gis.com/iKe8p,"4,2",6,,,,,,,,,"4,4",7,7
Надым,Чураева К,Надым-01 проспект Ленинградский 10,Мир Суши Россия,Покатова Лариса РД,https://yandex.ru/maps/org/mir_sushi/21747007324/?ll=72.535357%2C65.529246&z=16,,,https://2gis.ru/nadym/search/%D0%BC%D0%B8%D1%80%20%D1%81%D1%83%D1%88%D0%B8%20%D0%9D%D0%B0%D0%B4%D1%8B%D0%BC-01%20%D0%BF%D1%80%D0%BE%D1%81%D0%BF%D0%B5%D0%BA%D1%82%20%D0%9B%D0%B5%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4%D1%81%D0%BA%D0%B8%D0%B9%2010/firm/70000001103771548/72.535318%2C65.529215?m=72.535373%2C65.529228%2F16.95,5,1,,,,,,,,,"4,4",7,7
